Age,Gender,Sleep Duration,Quality of Sleep,Physical Activity Level,Work Hours,Screen Time,Stress Level
56,Male,6.44,Good,Moderate,9.1,10.0,Medium
46,Male,7.01,Good,Moderate,8.37,6.81,Medium
32,Female,6.43,Good,Low,8.43,7.64,Medium
25,Male,7.24,Good,High,7.88,7.72,Low
38,Female,8.17,Good,High,6.43,6.1,Low
56,Female,6.67,Good,High,10.29,8.27,Medium
36,Female,7.44,Good,High,8.51,7.57,Low
40,Male,8.25,Good,Low,6.33,4.6,Low
28,Male,8.13,Good,Moderate,6.94,5.95,Medium
28,Female,6.04,Good,Low,12.0,8.55,High
41,Male,7.74,Average,High,7.59,7.33,Medium
53,Female,6.8,Average,Low,9.94,8.37,High
57,Male,7.84,Good,High,6.47,5.71,Low
41,Female,7.18,Good,Moderate,8.39,7.9,Low
20,Female,6.83,Good,Low,7.42,3.48,Medium
39,Male,7.02,Good,High,7.34,6.66,Low
19,Female,6.81,Good,High,9.14,8.69,Low
41,Female,6.85,Good,Moderate,7.08,8.42,Medium
47,Female,6.31,Average,Moderate,7.26,8.0,Low
55,Female,6.2,Good,Low,9.62,10.0,Medium
19,Female,8.62,Good,Low,5.79,3.9,Low
38,Male,7.07,Average,High,7.59,8.88,Medium
50,Male,5.81,Good,Moderate,7.03,7.37,Medium
29,Female,6.17,Average,High,7.31,6.31,Medium
39,Male,7.77,Good,Moderate,7.49,7.41,Low
42,Female,5.62,Poor,Moderate,9.1,10.0,High
44,Female,4.72,Average,Moderate,11.37,10.0,High
59,Female,4.81,Poor,High,9.11,8.5,Medium
45,Female,4.43,Poor,Low,10.37,10.0,High
33,Female,4.94,Average,Low,10.12,8.76,High
32,Male,5.08,Average,Moderate,9.68,7.59,Medium
20,Male,8.16,Good,Low,7.56,9.4,Low
54,Male,6.44,Good,Low,7.26,4.92,Low
24,Male,6.06,Good,High,9.55,8.75,Medium
38,Male,4.77,Poor,High,11.6,10.0,High
26,Male,6.33,Good,Low,7.68,6.13,Medium
56,Female,4.42,Average,High,11.06,7.77,High
35,Male,6.06,Good,Low,9.37,8.37,High
21,Female,8.98,Good,Low,6.73,7.26,Low
42,Female,7.3,Good,Low,7.7,8.96,Low
31,Male,6.25,Good,High,10.45,8.16,Medium
26,Male,7.34,Good,High,10.19,7.96,Medium
43,Female,5.87,Average,Low,9.88,10.0,High
19,Female,5.54,Poor,Moderate,9.84,8.19,High
37,Female,8.54,Good,Low,6.48,6.04,Low
45,Female,5.13,Average,Low,8.29,9.63,High
24,Female,6.08,Average,High,7.21,4.58,Medium
25,Male,6.87,Good,High,6.75,4.92,Low
52,Male,5.38,Poor,High,9.94,10.0,High
31,Female,7.28,Good,High,7.49,6.34,Low
34,Female,6.13,Poor,High,10.7,8.69,High
53,Female,7.3,Good,Moderate,4.69,4.61,Low
57,Female,7.2,Good,Moderate,7.85,7.01,Low
21,Female,6.21,Average,Moderate,9.31,7.83,Low
19,Female,8.55,Good,Low,7.53,7.48,Low
